	text	user	len	ID	Date	Source	Like	RTs	Geo
108	RT @insertmoin: Sonntagspodcast von unserer @Bambiinupendi über die Absage der #E32020 wegen #covid19: Was hat das für Folgen für die Zukun…	Manu	140	1241513270634315776	2020-03-21 23:53:24	Twitter Web App	0	2	
109	@reitschuster Berlin wird trotz unfähiger Regierung keinerlei Probleme mit #COVID19 haben, das Durchschnittsalter liegt bei 42,7 Jahren.	Klarnamen Klaus 🇬🇷	136	1241513261457178633	2020-03-21 23:53:22	Twitter Web App	0	0	
110	Was erlauben #Forscher? #Shutdown #Pandemie #Coronavirus #COVID19 #Drosten https://t.co/xILnDBCD9u https://t.co/CQz8nAAavk	Fremdenlegion @ lalegion.info 🇫🇷 🇩🇪 🇦🇹 🇨🇭	122	1241513254641381378	2020-03-21 23:53:20	Twitter Web App	0	0	
111	RT @hustendoktor: Hustis Weisheiten zur #Covid19. Die Intensivmediziner mögen sich die Haare raufen, dies hier ist Eminenz based und reine…	Guido Burkhardt RN	139	1241513224194883590	2020-03-21 23:53:13	Twitter for iPhone	0	4	
112	"Fakten statt Fiktion - auch in Zeiten der Corona-Krise. Wir @riffreporter recherchieren für euch👉 z.B.
Warum der Lu… https://t.co/1Si7jtyYNy"	Marianne Falck	140	1241513217270206469	2020-03-21 23:53:11	Twitter Web App	0	1	
113	"RT @MDRAktuell: Ärzte des ""Nierenzentrums"" im Ilm-Kreis bitten die Bevölkerung um Hilfe. Ihnen fehlen Schutzmasken der Kategorien FFP2 und…"	M🐢rte van de Klarname	139	1241513179483684870	2020-03-21 23:53:02	Twitter Web App	0	275	
114	RT @lipsandskin: Viren kennen nur dann keine Grenzen, wenn es für ihre Wirte keine Grenzen gibt. #covid19 #coronavirus	Weinbergschneck	118	1241513072893853696	2020-03-21 23:52:37	Twitter for iPhone	0	62	
115	RT @Peter_Schaar: Im @leopoldina-Papier wird auch das Hochfahren der Testkapazitäten auf #COVID19 gefordert - Dagegen ist von verstärkter Ü…	(((Katharina König-Preuss)))🍓	140	1241513037779087361	2020-03-21 23:52:29	Twitter for iPhone	0	39	
116	Schöne Illustration! #Hygiene, #COVID19 #Haendewaschen https://t.co/tbHPHyiyHw	PeaceFullness	78	1241513016174272519	2020-03-21 23:52:23	Twitter Web App	0	0	
117	RT @Peter_Schaar: Im @leopoldina-Papier wird auch das Hochfahren der Testkapazitäten auf #COVID19 gefordert - Dagegen ist von verstärkter Ü…	rmroppert	140	1241512990303805440	2020-03-21 23:52:17	Twitter for Android	0	39	
118	Meine Tochter wurde gestern gefragt ob sie zum Kindergeburtstag kommt am Sonntag. Kommen 6-8 Kinder und die Oma und… https://t.co/wjQHAd0uHW	ZwiegespaltenYT	140	1241512927045259264	2020-03-21 23:52:02	Twitter for Android	0	0	
119	"2020 

Die Menschen in Deutschland glauben aus dem Arsch gezogenen YouTube Verschwörungen und dem Pommes Buden Besi… https://t.co/8VACHPeFM8"	CIV4N	140	1241512920254681094	2020-03-21 23:52:01	Twitter for iPhone	0	0	
120	RT @lipsandskin: Dass wir den Italienern in Ihrer Not nicht helfen können, weil wir selbst am letzten Loch pfeifen, ist die eigentliche Sch…	Karen Lennartz	140	1241512909353750528	2020-03-21 23:51:58	Twitter for Android	0	73	
121	"RT @SEENOTRETTUNG: #CORONAVIRUS
#Moria ist #COVID19 hilflos ausgeliefert! #savethem 
Quelle: https://t.co/Kdlsnx1wwo https://t.co/GPVupHF5d2"	𝓢𝓲𝓻 𝓜𝓬𝓓𝓻𝓪𝓰𝓸𝓷	140	1241512908800045063	2020-03-21 23:51:58	Twitter for iPhone	0	48	
122	Hoppla, jetzt ist das Hotel vom Hörl Franz selbst betroffen von #COVID19. Drücke fest die Daumen, dass das kein zwe… https://t.co/F2NIfcgjEA	Sebastian Beiglböck	140	1241512861383491584	2020-03-21 23:51:47	Twitter Web App	0	0	
123	RT @SHV_FSSF: Geburten finden auch in #Pandemien statt. Auch bei #COVID19. Frauen werden schnell nach der Geburt aus dem Spital entlassen u…	M. Michel-Schuldt	140	1241512810502410240	2020-03-21 23:51:34	Twitter for Android	0	8	
124	RT @MDRAktuell: Intensivmediziner klagen über massiven Preisanstieg bei wichtigen Medikamenten. Deutsche Gesellschaft für Anästhesiologie u…	Robert Andreasch	140	1241512778197807106	2020-03-21 23:51:27	Twitter for Android	0	206	
